,english,korean
0,Life begins at the end of your comfort zone.,인생은 당신의 편안한 공간의 끝에서 시작된다.
1,The most personal is the most creative.,가장 개인적인 것이 가장 창의적이다.
2,Let's embrace the coming year with great hopes.,큰 희망을 가지고 내년을 끌어안자.
3,Much of what I stumbled into by following my curiosity and intuition turned out to be priceless.,제가 호기심과 직관을 따르면서 우연히 발견한 것의 대부분은 값을 매길 수 없는 것으로 밝혀졌습니다.
4,You can't connect the dots looking forward.,너는 앞을 보고 점을 연결할 수 없다.
5,I'm here to just tell you my sincere path.,나는 단지 너에게 나의 진실한 길을 말해주기 위해 여기에 왔다.
6,I'm doing something because I love it and I believe it.,나는 그것을 사랑하고 믿기 때문에 무언가를 하고 있다.
7,I realized I don't know how to be anything but myself.,나는 내가 내 자신 이외에는 아무것도 될 줄 모른다는 것을 깨달았다.
8,quit game,게임을 그만두다
9,attack on sight,눈에 보이는 대로 공격하다
10,defense stats,국방 통계
11,stargazing card,별을 보는 카드
12,continue?,계속하시겠습니까?
